,White Liquor Carbonate,White Liquor TTA
0,17.840030500845867,152.72430360955423
1,17.36784710354533,132.26767661689843
2,20.16369253846234,164.26657744391287
3,15.864983019005958,89.87150502468353
4,18.346349879138394,121.01627225134027
5,17.887058114120606,123.68132792303983
6,14.897484203850713,97.46102806580215
7,17.057594478044372,112.36800256784878
8,16.73655610126672,131.52496669189603
9,17.54223203991273,116.0968509517865
10,17.455367109430213,133.30586938646886
11,14.328483830778183,125.01271130521663
12,16.38890094065679,100.55513378616978
13,17.84795768178381,120.1882980710005
14,16.50569262006088,105.70996770787079
15,16.070668898292023,119.04273744888502
16,17.71733954914628,96.57703028921492
17,18.165088292806953,131.1537080023367
18,14.691244191693336,99.4541324911313
19,15.467524338558771,95.61708176087964
